CHEM101020LLAB,General Chemistry,123,any,any,M,7:00PM - 10:00PM,"Chatellier,Dana Stewart"
CHEM101021LLAB,General Chemistry,123,any,any,M,12:20PM - 3:20PM,"Chatellier,Dana Stewart"
CHEM101022LLAB,General Chemistry,123,any,any,R,3:30PM - 6:30PM,"Chatellier,Dana Stewart"
CHEM101023LLAB,General Chemistry,123,any,any,W,12:20PM - 3:20PM,"Chatellier,Dana Stewart"
CHEM101024LLAB,General Chemistry,123,any,any,F,12:20PM - 3:20PM,"Chatellier,Dana Stewart"
CHEM101025LLAB,General Chemistry,123,any,any,F,3:35PM - 6:35PM,"Chatellier,Dana Stewart"
CHEM102020LLAB,General Chemistry,123,any,any,T,12:30PM - 3:30PM,"Chatellier,Dana Stewart"
CHEM102021LLAB,General Chemistry,123,any,any,M,3:35PM - 6:35PM,"Chatellier,Dana Stewart"
CHEM102022LLAB,General Chemistry,123,any,any,R,12:30PM - 3:30PM,"Chatellier,Dana Stewart"
CHEM103020LLAB,General Chemistry,123,any,any,M,3:35PM - 6:35PM,"Graves PhD,Kimberly Susan"
CHEM103021LLAB,General Chemistry,123,any,any,T,12:30PM - 3:30PM,"Graves PhD,Kimberly Susan"
CHEM103022LLAB,General Chemistry,123,any,any,W,9:05AM - 12:05PM,"Graves PhD,Kimberly Susan"
CHEM103023LLAB,General Chemistry,123,any,any,R,7:00PM - 10:00PM,"Graves PhD,Kimberly Susan"
CHEM103030LLAB,General Chemistry,123,any,any,M,7:00PM - 10:00PM,"Graves PhD,Kimberly Susan"
CHEM103031LLAB,General Chemistry,123,any,any,T,3:30PM - 6:30PM,"Graves PhD,Kimberly Susan"
CHEM103032LLAB,General Chemistry,123,any,any,R,12:30PM - 3:30PM,"Graves PhD,Kimberly Susan"
CHEM103033LLAB,General Chemistry,123,any,any,R,3:30PM - 6:30PM,"Graves PhD,Kimberly Susan"
CHEM103710LLAB,General Chemistry,123,any,any,F,3:30PM - 6:30PM,"Stemniski,Michael A"
CHEM103711LLAB,General Chemistry,123,any,any,F,7:00PM - 10:00PM,"Stemniski,Michael A"
CHEM104050LLAB,General Chemistry,123,any,any,M,12:20PM - 3:20PM,"Wingrave PhD,James A"
CHEM104051LLAB,General Chemistry,123,any,any,M,3:35PM - 6:35PM,"Wingrave PhD,James A"
CHEM104052LLAB,General Chemistry,123,any,any,M,7:00PM - 10:00PM,"Wingrave PhD,James A"
CHEM104053LLAB,General Chemistry,123,any,any,T,3:30PM - 6:30PM,"Wingrave PhD,James A"
CHEM104054LLAB,General Chemistry,123,any,any,T,7:00PM - 10:00PM,"Wingrave PhD,James A"
CHEM104055LLAB,General Chemistry,123,any,any,W,3:35PM - 6:35PM,"Wingrave PhD,James A"
CHEM104056LLAB,General Chemistry,123,any,any,W,7:00PM - 10:00PM,"Wingrave PhD,James A"
CHEM104057LLAB,General Chemistry,123,any,any,R,12:30PM - 3:30PM,"Wingrave PhD,James A"
CHEM104058LLAB,General Chemistry,123,any,any,W,12:20PM - 3:20PM,"Wingrave PhD,James A"
CHEM104060LLAB,General Chemistry,123,any,any,M,12:20PM - 3:20PM,"Wingrave PhD,James A"
CHEM104061LLAB,General Chemistry,123,any,any,M,3:35PM - 6:35PM,"Wingrave PhD,James A"
CHEM104062LLAB,General Chemistry,123,any,any,M,7:00PM - 10:00PM,"Wingrave PhD,James A"
CHEM104063LLAB,General Chemistry,123,any,any,T,3:30PM - 6:30PM,"Wingrave PhD,James A"
CHEM104064LLAB,General Chemistry,123,any,any,T,7:00PM - 10:00PM,"Wingrave PhD,James A"
CHEM104065LLAB,General Chemistry,123,any,any,W,7:00PM - 10:00PM,"Wingrave PhD,James A"
CHEM104066LLAB,General Chemistry,123,any,any,W,12:20PM - 3:20PM,"Wingrave PhD,James A"
CHEM104067LLAB,General Chemistry,123,any,any,F,12:20PM - 3:20PM,"Wingrave PhD,James A"
CHEM104068LLAB,General Chemistry,123,any,any,W,3:30PM - 6:30PM,"Wingrave PhD,James A"
CHEM104080DDIS,General Chemistry,123,any,any,M,1:25PM - 2:15PM,"Graves PhD,Kimberly Susan"
CHEM104080LLAB,General Chemistry,123,any,any,W,12:20PM - 3:20PM,"Graves PhD,Kimberly Susan"
CHEM104081DDIS,General Chemistry,123,any,any,M,3:35PM - 4:25PM,"Graves PhD,Kimberly Susan"
CHEM104081LLAB,General Chemistry,123,any,any,W,3:35PM - 6:35PM,"Graves PhD,Kimberly Susan"
